max_periods,n_groups,var,p_min,p_max,n_sims,intercept,slope
3,50,x1,0.0925,0.19375,500,0.06751691234581073,0.9517962335161835
3,50,x1,0.0925,0.19375,500,0.08539534889133306,0.010790336667218885
3,50,x1,0.0925,0.19375,500,0.09055236834316277,0.025014314086325765
3,50,x1,0.0925,0.19375,500,0.08668389123883716,0.19429176196888034
3,50,x1,0.0925,0.19375,500,0.07031331644302562,0.3528181389234768
3,50,x1,0.0925,0.19375,500,0.08232363166284047,0.20158793616894502
3,50,x1,0.0925,0.19375,500,0.07634105884308076,0.37155876002706917
3,50,x1,0.0925,0.19375,500,0.08396321610211485,0.09199339707250546
3,50,x1,0.0925,0.19375,500,0.10585588945370245,0.0034635502774026227
3,50,x1,0.0925,0.19375,500,0.1240025162315829,0.005821129186360715
3,50,x1,0.0925,0.19375,500,0.11081265331423293,0.4035932340440745
3,50,x1,0.0925,0.19375,500,0.11788746263158978,0.13331943136788665
3,50,x1,0.0925,0.19375,500,0.06204527912409693,0.21932590600011426
3,50,x1,0.0925,0.19375,500,0.09066499576612659,0.10763000101728505
3,50,x1,0.0925,0.19375,500,0.08502143010456152,0.2314428474777499
3,50,x1,0.0925,0.19375,500,0.09813637339037855,0.12803045693341472
3,50,x1,0.0925,0.19375,500,0.09988590607567437,0.07909621014378691
3,50,x1,0.0925,0.19375,500,0.10101050171838462,0.09511865875839853
3,50,x1,0.0925,0.19375,500,0.11334343869415213,0.06418988802626949
3,50,x1,0.0925,0.19375,500,0.11803425229524175,0.17929491473831358
3,50,x1,0.0925,0.19375,500,0.13898486952200453,-0.1000591500015767
3,50,x1,0.0925,0.19375,500,0.09571991890320608,0.10757587656539114
3,50,x1,0.0925,0.19375,500,0.09094494158132857,0.006495616821878689
3,50,x1,0.0925,0.19375,500,0.0800360254392356,0.2934425403518841
3,50,x1,0.0925,0.19375,500,0.08103206533011474,0.29976127773949707
3,50,x1,0.0925,0.19375,500,0.14087896204193537,-0.018776660728844728
3,50,x1,0.0925,0.19375,500,0.09013648653119798,0.04478637383817381
3,50,x1,0.0925,0.19375,500,0.0783593522646969,0.3318070823944044
3,50,x1,0.0925,0.19375,500,0.08869874603527257,0.10564802698238639
3,50,x1,0.0925,0.19375,500,0.10426560911668345,0.026886499164554458
3,50,x1,0.0925,0.19375,500,0.06644018727967098,0.12271958041771208
3,50,x1,0.0925,0.19375,500,0.08457845851081428,0.3247506636333989
3,50,x1,0.0925,0.19375,500,0.12441864179676947,0.08737451697411384
3,50,x1,0.0925,0.19375,500,0.08658781228270723,0.07412699616944898
3,50,x1,0.0925,0.19375,500,0.0818771429418925,0.02679100740949458
3,50,x1,0.0925,0.19375,500,0.09740879768423923,0.16478091367282938
3,50,x1,0.0925,0.19375,500,0.11843447959081084,0.13040362164790362
3,50,x1,0.0925,0.19375,500,0.0791812777355047,0.25864248792284306
3,50,x1,0.0925,0.19375,500,0.08800663441224918,0.020659840108422943
3,50,x1,0.0925,0.19375,500,0.06982778355620872,0.16215807280212702
3,50,x1,0.0925,0.19375,500,0.09341199051843785,0.157368772964069
3,50,x1,0.0925,0.19375,500,0.10141639097101379,0.004139850757867549
3,50,x1,0.0925,0.19375,500,0.09141863632683989,0.1256065476497297
3,50,x1,0.0925,0.19375,500,0.09528276064733811,0.14515797433003977
3,50,x1,0.0925,0.19375,500,0.10960033043541785,0.23971753711735846
3,50,x1,0.0925,0.19375,500,0.11683814038762999,-0.02376250950594497
3,50,x1,0.0925,0.19375,500,0.06296127523936584,0.17958402834685874
3,50,x1,0.0925,0.19375,500,0.09521692783180354,0.0910888196166779
3,50,x1,0.0925,0.19375,500,0.0580839998904056,0.4394979180406156
3,50,x1,0.0925,0.19375,500,0.0881626239382788,0.33055254299148873
3,50,x1,0.0925,0.19375,500,0.09359468133181895,0.19842173980693734
3,50,x1,0.0925,0.19375,500,0.09438250326023802,0.15615111538122425
3,50,x1,0.0925,0.19375,500,0.07119742498029422,0.1473255921158065
